lookup,School DBN,SchoolName,SchoolType,SchoolLevel,Regents Exam,Year,Total Tested,Mean Score,Number Scoring Below 65,Percent Scoring Below 65,Number Scoring 65 or Above,Percent Scoring 65 or Above,Number Scoring 80 or Above,Percent Scoring 80 or Above,Number Scoring CR,Percent Scoring CR
84K5382016Living Environment,84K538,Achievement First Bushwick Charter School,General Academic,K-12 all grades,Living Environment,2016,50,80.9,0,0.0,50,100.0,31,62.0,na,na
84K5382017Living Environment,84K538,Achievement First Bushwick Charter School,General Academic,K-12 all grades,Living Environment,2017,48,76.4,5,10.4,43,89.6,22,45.8,na,na
84K5382017Physical Settings/Earth Science,84K538,Achievement First Bushwick Charter School,General Academic,K-12 all grades,Physical Settings/Earth Science,2017,1,s,s,s,s,s,s,s,na,na
84K5382015U.S. History and Government,84K538,Achievement First Bushwick Charter School,General Academic,K-12 all grades,U.S. History and Government,2015,40,83.7,1,2.5,39,97.5,25,62.5,na,na
84K5382016U.S. History and Government,84K538,Achievement First Bushwick Charter School,General Academic,K-12 all grades,U.S. History and Government,2016,17,72.6,6,35.3,11,64.7,8,47.1,na,na
84K5382017U.S. History and Government,84K538,Achievement First Bushwick Charter School,General Academic,K-12 all grades,U.S. History and Government,2017,13,69.5,4,30.8,9,69.2,2,15.4,na,na
84K5932015Algebra2/Trigonometry,84K593,Excellence Boys Charter School,General Academic,K-8,Algebra2/Trigonometry,2015,6,45.0,6,100.0,0,0.0,0,0.0,0,0.0
84K5932016Algebra2/Trigonometry,84K593,Excellence Boys Charter School,General Academic,K-8,Algebra2/Trigonometry,2016,6,48.2,6,100.0,0,0.0,0,0.0,0,0.0
84K5932015Common Core Algebra,84K593,Excellence Boys Charter School,General Academic,K-8,Common Core Algebra,2015,45,68.5,10,22.2,35,77.8,1,2.2,23,51.1
84K5932016Common Core Algebra,84K593,Excellence Boys Charter School,General Academic,K-8,Common Core Algebra,2016,52,69.0,13,25.0,39,75.0,9,17.3,32,61.5
84K5932017Common Core Algebra,84K593,Excellence Boys Charter School,General Academic,K-8,Common Core Algebra,2017,25,76.2,4,16.0,21,84.0,16,64.0,20,80.0
84K5932016Common Core Algebra2,84K593,Excellence Boys Charter School,General Academic,K-8,Common Core Algebra2,2016,4,s,s,s,s,s,s,s,na,na
84K5932015Common Core English,84K593,Excellence Boys Charter School,General Academic,K-8,Common Core English,2015,10,74.7,1,10.0,9,90.0,5,50.0,8,80.0
84K5932016Common Core English,84K593,Excellence Boys Charter School,General Academic,K-8,Common Core English,2016,37,77.5,2,5.4,35,94.6,17,45.9,24,64.9
84K5932015Common Core Geometry,84K593,Excellence Boys Charter School,General Academic,K-8,Common Core Geometry,2015,15,58.9,11,73.3,4,26.7,0,0.0,3,20.0
84K5932016Common Core Geometry,84K593,Excellence Boys Charter School,General Academic,K-8,Common Core Geometry,2016,25,57.1,20,80.0,5,20.0,0,0.0,2,8.0
84K5932015Geometry,84K593,Excellence Boys Charter School,General Academic,K-8,Geometry,2015,14,64.3,6,42.9,8,57.1,0,0.0,0,0.0
84K5932015Global History and Geography,84K593,Excellence Boys Charter School,General Academic,K-8,Global History and Geography,2015,10,77.5,0,0.0,10,100.0,4,40.0,na,na
84K5932016Global History and Geography,84K593,Excellence Boys Charter School,General Academic,K-8,Global History and Geography,2016,11,82.0,0,0.0,11,100.0,7,63.6,na,na
84K5932015Integrated Algebra,84K593,Excellence Boys Charter School,General Academic,K-8,Integrated Algebra,2015,4,s,s,s,s,s,s,s,na,na
84K5932015Living Environment,84K593,Excellence Boys Charter School,General Academic,K-8,Living Environment,2015,48,78.4,6,12.5,42,87.5,25,52.1,na,na
84K5932016Living Environment,84K593,Excellence Boys Charter School,General Academic,K-8,Living Environment,2016,53,74.8,7,13.2,46,86.8,20,37.7,na,na
84K5932017Living Environment,84K593,Excellence Boys Charter School,General Academic,K-8,Living Environment,2017,26,77.7,3,11.5,23,88.5,12,46.2,na,na
84K5932015Physical Settings/Chemistry,84K593,Excellence Boys Charter School,General Academic,K-8,Physical Settings/Chemistry,2015,10,54.3,9,90.0,1,10.0,0,0.0,na,na
84K5932016Physical Settings/Chemistry,84K593,Excellence Boys Charter School,General Academic,K-8,Physical Settings/Chemistry,2016,11,55.8,10,90.9,1,9.1,0,0.0,na,na
84K5932017Physical Settings/Earth Science,84K593,Excellence Boys Charter School,General Academic,K-8,Physical Settings/Earth Science,2017,1,s,s,s,s,s,s,s,na,na
84K5932015U.S. History and Government,84K593,Excellence Boys Charter School,General Academic,K-8,U.S. History and Government,2015,8,88.9,0,0.0,8,100.0,7,87.5,na,na
84K5932016U.S. History and Government,84K593,Excellence Boys Charter School,General Academic,K-8,U.S. History and Government,2016,8,78.6,0,0.0,8,100.0,4,50.0,na,na
84K6082015Algebra2/Trigonometry,84K608,Kings Collegiate Charter School,General Academic,K-8,Algebra2/Trigonometry,2015,25,53.2,21,84.0,4,16.0,0,0.0,0,0.0
84K6082016Algebra2/Trigonometry,84K608,Kings Collegiate Charter School,General Academic,K-8,Algebra2/Trigonometry,2016,34,54.3,28,82.4,6,17.6,1,2.9,1,2.9
84K6082015Common Core Algebra,84K608,Kings Collegiate Charter School,General Academic,K-8,Common Core Algebra,2015,76,67.3,21,27.6,55,72.4,5,6.6,30,39.5
84K6082016Common Core Algebra,84K608,Kings Collegiate Charter School,General Academic,K-8,Common Core Algebra,2016,83,74.2,13,15.7,70,84.3,30,36.1,63,75.9
84K6082017Common Core Algebra,84K608,Kings Collegiate Charter School,General Academic,K-8,Common Core Algebra,2017,28,78.4,3,10.7,25,89.3,15,53.6,24,85.7
84K6082016Common Core Algebra2,84K608,Kings Collegiate Charter School,General Academic,K-8,Common Core Algebra2,2016,29,72.8,4,13.8,25,86.2,4,13.8,25,86.2
84K6082015Common Core English,84K608,Kings Collegiate Charter School,General Academic,K-8,Common Core English,2015,45,82.0,4,8.9,41,91.1,30,66.7,34,75.6
84K6082016Common Core English,84K608,Kings Collegiate Charter School,General Academic,K-8,Common Core English,2016,121,78.4,14,11.6,107,88.4,69,57.0,89,73.6
84K6082015Common Core Geometry,84K608,Kings Collegiate Charter School,General Academic,K-8,Common Core Geometry,2015,65,58.7,44,67.7,21,32.3,1,1.5,14,21.5
84K6082016Common Core Geometry,84K608,Kings Collegiate Charter School,General Academic,K-8,Common Core Geometry,2016,61,56.0,44,72.1,17,27.9,0,0.0,8,13.1
84K6082015Geometry,84K608,Kings Collegiate Charter School,General Academic,K-8,Geometry,2015,68,65.8,27,39.7,41,60.3,3,4.4,3,4.4
84K6082016Geometry,84K608,Kings Collegiate Charter School,General Academic,K-8,Geometry,2016,1,s,s,s,s,s,s,s,na,na
84K6082015Global History and Geography,84K608,Kings Collegiate Charter School,General Academic,K-8,Global History and Geography,2015,47,75.5,8,17.0,39,83.0,23,48.9,na,na
84K6082016Global History and Geography,84K608,Kings Collegiate Charter School,General Academic,K-8,Global History and Geography,2016,61,78.8,3,4.9,58,95.1,30,49.2,na,na
84K6082015Integrated Algebra,84K608,Kings Collegiate Charter School,General Academic,K-8,Integrated Algebra,2015,8,62.5,4,50.0,4,50.0,0,0.0,0,0.0
84K6082015Living Environment,84K608,Kings Collegiate Charter School,General Academic,K-8,Living Environment,2015,100,77.0,14,14.0,86,86.0,50,50.0,na,na
84K6082016Living Environment,84K608,Kings Collegiate Charter School,General Academic,K-8,Living Environment,2016,83,75.1,13,15.7,70,84.3,27,32.5,na,na
84K6082017Living Environment,84K608,Kings Collegiate Charter School,General Academic,K-8,Living Environment,2017,28,73.9,6,21.4,22,78.6,11,39.3,na,na
84K6082015Physical Settings/Chemistry,84K608,Kings Collegiate Charter School,General Academic,K-8,Physical Settings/Chemistry,2015,51,56.3,44,86.3,7,13.7,0,0.0,na,na
84K6082016Physical Settings/Chemistry,84K608,Kings Collegiate Charter School,General Academic,K-8,Physical Settings/Chemistry,2016,60,58.6,42,70.0,18,30.0,0,0.0,na,na
84K6082015U.S. History and Government,84K608,Kings Collegiate Charter School,General Academic,K-8,U.S. History and Government,2015,33,88.6,1,3.0,32,97.0,27,81.8,na,na
84K6082016U.S. History and Government,84K608,Kings Collegiate Charter School,General Academic,K-8,U.S. History and Government,2016,45,79.8,5,11.1,40,88.9,26,57.8,na,na
84K6262016Common Core Algebra,84K626,Achievement First Brownsville Charter School,General Academic,K-12 all grades,Common Core Algebra,2016,1,s,s,s,s,s,s,s,na,na
84K6262017Common Core Algebra,84K626,Achievement First Brownsville Charter School,General Academic,K-12 all grades,Common Core Algebra,2017,98,79.4,4,4.1,94,95.9,58,59.2,91,92.9
84K6262016Common Core English,84K626,Achievement First Brownsville Charter School,General Academic,K-12 all grades,Common Core English,2016,1,s,s,s,s,s,s,s,na,na
84K6482015Algebra2/Trigonometry,84K648,Bedford Stuyvesant Collegiate Charter School,General Academic,Secondary School,Algebra2/Trigonometry,2015,23,68.4,10,43.5,13,56.5,5,21.7,5,21.7
84K6482016Algebra2/Trigonometry,84K648,Bedford Stuyvesant Collegiate Charter School,General Academic,Secondary School,Algebra2/Trigonometry,2016,44,59.6,26,59.1,18,40.9,4,9.1,4,9.1
84K6482015Common Core Algebra,84K648,Bedford Stuyvesant Collegiate Charter School,General Academic,Secondary School,Common Core Algebra,2015,74,64.3,31,41.9,43,58.1,2,2.7,21,28.4
84K6482016Common Core Algebra,84K648,Bedford Stuyvesant Collegiate Charter School,General Academic,Secondary School,Common Core Algebra,2016,88,71.1,18,20.5,70,79.5,14,15.9,58,65.9
84K6482017Common Core Algebra,84K648,Bedford Stuyvesant Collegiate Charter School,General Academic,Secondary School,Common Core Algebra,2017,74,76.3,9,12.2,65,87.8,38,51.4,61,82.4
84K6482016Common Core Algebra2,84K648,Bedford Stuyvesant Collegiate Charter School,General Academic,Secondary School,Common Core Algebra2,2016,18,70.2,4,22.2,14,77.8,2,11.1,14,77.8
84K6482015Common Core English,84K648,Bedford Stuyvesant Collegiate Charter School,General Academic,Secondary School,Common Core English,2015,96,78.8,12,12.5,84,87.5,48,50.0,67,69.8
84K6482016Common Core English,84K648,Bedford Stuyvesant Collegiate Charter School,General Academic,Secondary School,Common Core English,2016,67,77.7,8,11.9,59,88.1,37,55.2,48,71.6
84K6482015Common Core Geometry,84K648,Bedford Stuyvesant Collegiate Charter School,General Academic,Secondary School,Common Core Geometry,2015,42,57.2,30,71.4,12,28.6,0,0.0,8,19.0
84K6482016Common Core Geometry,84K648,Bedford Stuyvesant Collegiate Charter School,General Academic,Secondary School,Common Core Geometry,2016,39,62.8,24,61.5,15,38.5,0,0.0,5,12.8
84K6482015Geometry,84K648,Bedford Stuyvesant Collegiate Charter School,General Academic,Secondary School,Geometry,2015,44,62.5,21,47.7,23,52.3,5,11.4,5,11.4
84K6482015Global History and Geography,84K648,Bedford Stuyvesant Collegiate Charter School,General Academic,Secondary School,Global History and Geography,2015,36,71.3,9,25.0,27,75.0,12,33.3,na,na
84K6482016Global History and Geography,84K648,Bedford Stuyvesant Collegiate Charter School,General Academic,Secondary School,Global History and Geography,2016,31,78.6,5,16.1,26,83.9,17,54.8,na,na
84K6482015Integrated Algebra,84K648,Bedford Stuyvesant Collegiate Charter School,General Academic,Secondary School,Integrated Algebra,2015,11,74.4,1,9.1,10,90.9,2,18.2,2,18.2
84K6482015Living Environment,84K648,Bedford Stuyvesant Collegiate Charter School,General Academic,Secondary School,Living Environment,2015,90,74.9,17,18.9,73,81.1,37,41.1,na,na
84K6482016Living Environment,84K648,Bedford Stuyvesant Collegiate Charter School,General Academic,Secondary School,Living Environment,2016,98,77.1,9,9.2,89,90.8,42,42.9,na,na
84K6482017Living Environment,84K648,Bedford Stuyvesant Collegiate Charter School,General Academic,Secondary School,Living Environment,2017,74,80.6,7,9.5,67,90.5,48,64.9,na,na
84K6482015Physical Settings/Chemistry,84K648,Bedford Stuyvesant Collegiate Charter School,General Academic,Secondary School,Physical Settings/Chemistry,2015,41,57.9,30,73.2,11,26.8,0,0.0,na,na
84K6482016Physical Settings/Chemistry,84K648,Bedford Stuyvesant Collegiate Charter School,General Academic,Secondary School,Physical Settings/Chemistry,2016,29,62.7,18,62.1,11,37.9,0,0.0,na,na
84K6482015U.S. History and Government,84K648,Bedford Stuyvesant Collegiate Charter School,General Academic,Secondary School,U.S. History and Government,2015,23,85.1,0,0.0,23,100.0,18,78.3,na,na
84K6482016U.S. History and Government,84K648,Bedford Stuyvesant Collegiate Charter School,General Academic,Secondary School,U.S. History and Government,2016,28,76.8,3,10.7,25,89.3,12,42.9,na,na
84K6512017Common Core Algebra,84K651,PAVE Academy Charter School,General Academic,K-8,Common Core Algebra,2017,31,67.0,11,35.5,20,64.5,3,9.7,17,54.8
84K6512017Common Core English,84K651,PAVE Academy Charter School,General Academic,K-8,Common Core English,2017,1,s,s,s,s,s,s,s,na,na
84K6512017Living Environment,84K651,PAVE Academy Charter School,General Academic,K-8,Living Environment,2017,21,59.4,13,61.9,8,38.1,0,0.0,na,na
84K6522015Common Core Algebra,84K652,Brooklyn Ascend Charter School,General Academic,K-12 all grades,Common Core Algebra,2015,2,s,s,s,s,s,s,s,na,na
84K6522016Common Core Algebra,84K652,Brooklyn Ascend Charter School,General Academic,K-12 all grades,Common Core Algebra,2016,66,72.2,11,16.7,55,83.3,12,18.2,47,71.2
84K6522017Common Core Algebra,84K652,Brooklyn Ascend Charter School,General Academic,K-12 all grades,Common Core Algebra,2017,87,70.8,18,20.7,69,79.3,20,23.0,59,67.8
84K6522015Common Core English,84K652,Brooklyn Ascend Charter School,General Academic,K-12 all grades,Common Core English,2015,1,s,s,s,s,s,s,s,na,na
84K6522016Common Core English,84K652,Brooklyn Ascend Charter School,General Academic,K-12 all grades,Common Core English,2016,1,s,s,s,s,s,s,s,na,na
84K6522017Common Core English,84K652,Brooklyn Ascend Charter School,General Academic,K-12 all grades,Common Core English,2017,21,81.0,1,4.8,20,95.2,16,76.2,17,81.0
84K6522017Common Core Geometry,84K652,Brooklyn Ascend Charter School,General Academic,K-12 all grades,Common Core Geometry,2017,55,54.5,49,89.1,6,10.9,0,0.0,1,1.8
84K6522017Global History and Geography,84K652,Brooklyn Ascend Charter School,General Academic,K-12 all grades,Global History and Geography,2017,59,70.1,19,32.2,40,67.8,21,35.6,na,na
84K6522016Living Environment,84K652,Brooklyn Ascend Charter School,General Academic,K-12 all grades,Living Environment,2016,66,74.8,8,12.1,58,87.9,23,34.8,na,na
84K6522017Living Environment,84K652,Brooklyn Ascend Charter School,General Academic,K-12 all grades,Living Environment,2017,79,69.7,17,21.5,62,78.5,20,25.3,na,na
84K6522017Physical Settings/Chemistry,84K652,Brooklyn Ascend Charter School,General Academic,K-12 all grades,Physical Settings/Chemistry,2017,54,53.3,49,90.7,5,9.3,0,0.0,na,na
84K6522016U.S. History and Government,84K652,Brooklyn Ascend Charter School,General Academic,K-12 all grades,U.S. History and Government,2016,1,s,s,s,s,s,s,s,na,na
84K6932015Algebra2/Trigonometry,84K693,Northside Charter High School,General Academic,High school,Algebra2/Trigonometry,2015,33,42.8,30,90.9,3,9.1,1,3.0,1,3.0
84K6932016Algebra2/Trigonometry,84K693,Northside Charter High School,General Academic,High school,Algebra2/Trigonometry,2016,59,42.6,52,88.1,7,11.9,3,5.1,3,5.1
84K6932017Algebra2/Trigonometry,84K693,Northside Charter High School,General Academic,High school,Algebra2/Trigonometry,2017,11,43.1,11,100.0,0,0.0,0,0.0,0,0.0
84K6932015Common Core Algebra,84K693,Northside Charter High School,General Academic,High school,Common Core Algebra,2015,128,57.2,98,76.6,30,23.4,0,0.0,5,3.9
84K6932016Common Core Algebra,84K693,Northside Charter High School,General Academic,High school,Common Core Algebra,2016,171,64.2,75,43.9,96,56.1,3,1.8,43,25.1
84K6932017Common Core Algebra,84K693,Northside Charter High School,General Academic,High school,Common Core Algebra,2017,137,60.3,78,56.9,59,43.1,1,0.7,34,24.8
84K6932016Common Core Algebra2,84K693,Northside Charter High School,General Academic,High school,Common Core Algebra2,2016,53,52.9,46,86.8,7,13.2,1,1.9,7,13.2
84K6932017Common Core Algebra2,84K693,Northside Charter High School,General Academic,High school,Common Core Algebra2,2017,62,54.0,53,85.5,9,14.5,0,0.0,9,14.5
84K6932015Common Core English,84K693,Northside Charter High School,General Academic,High school,Common Core English,2015,80,61.0,40,50.0,40,50.0,10,12.5,15,18.8
84K6932016Common Core English,84K693,Northside Charter High School,General Academic,High school,Common Core English,2016,120,70.3,29,24.2,91,75.8,45,37.5,60,50.0
84K6932017Common Core English,84K693,Northside Charter High School,General Academic,High school,Common Core English,2017,114,72.6,23,20.2,91,79.8,47,41.2,63,55.3
84K6932015Common Core Geometry,84K693,Northside Charter High School,General Academic,High school,Common Core Geometry,2015,45,52.5,36,80.0,9,20.0,0,0.0,3,6.7
84K6932016Common Core Geometry,84K693,Northside Charter High School,General Academic,High school,Common Core Geometry,2016,100,47.6,94,94.0,6,6.0,0,0.0,3,3.0
84K6932017Common Core Geometry,84K693,Northside Charter High School,General Academic,High school,Common Core Geometry,2017,74,50.5,68,91.9,6,8.1,0,0.0,3,4.1
84K6932015English,84K693,Northside Charter High School,General Academic,High school,English,2015,148,71.5,31,20.9,117,79.1,40,27.0,65,43.9
84K6932016English,84K693,Northside Charter High School,General Academic,High school,English,2016,7,55.7,5,71.4,2,28.6,0,0.0,1,14.3
84K6932015Geometry,84K693,Northside Charter High School,General Academic,High school,Geometry,2015,83,60.7,50,60.2,33,39.8,7,8.4,7,8.4
84K6932016Geometry,84K693,Northside Charter High School,General Academic,High school,Geometry,2016,9,53.6,9,100.0,0,0.0,0,0.0,0,0.0
84K6932015Global History and Geography,84K693,Northside Charter High School,General Academic,High school,Global History and Geography,2015,105,72.9,30,28.6,75,71.4,39,37.1,na,na
84K6932016Global History and Geography,84K693,Northside Charter High School,General Academic,High school,Global History and Geography,2016,124,67.0,48,38.7,76,61.3,33,26.6,na,na
84K6932017Global History and Geography,84K693,Northside Charter High School,General Academic,High school,Global History and Geography,2017,123,69.3,40,32.5,83,67.5,37,30.1,na,na
84K6932015Integrated Algebra,84K693,Northside Charter High School,General Academic,High school,Integrated Algebra,2015,68,63.7,29,42.6,39,57.4,3,4.4,3,4.4
84K6932016Integrated Algebra,84K693,Northside Charter High School,General Academic,High school,Integrated Algebra,2016,5,s,s,s,s,s,s,s,na,na
84K6932015Living Environment,84K693,Northside Charter High School,General Academic,High school,Living Environment,2015,111,67.0,41,36.9,70,63.1,20,18.0,na,na
84K6932016Living Environment,84K693,Northside Charter High School,General Academic,High school,Living Environment,2016,120,64.1,57,47.5,63,52.5,6,5.0,na,na
84K6932017Living Environment,84K693,Northside Charter High School,General Academic,High school,Living Environment,2017,132,59.5,86,65.2,46,34.8,4,3.0,na,na
84K6932015Physical Settings/Chemistry,84K693,Northside Charter High School,General Academic,High school,Physical Settings/Chemistry,2015,16,56.9,13,81.3,3,18.8,0,0.0,na,na
84K6932016Physical Settings/Chemistry,84K693,Northside Charter High School,General Academic,High school,Physical Settings/Chemistry,2016,21,53.6,18,85.7,3,14.3,0,0.0,na,na
84K6932017Physical Settings/Chemistry,84K693,Northside Charter High School,General Academic,High school,Physical Settings/Chemistry,2017,15,52.5,15,100.0,0,0.0,0,0.0,na,na
84K6932015Physical Settings/Earth Science,84K693,Northside Charter High School,General Academic,High school,Physical Settings/Earth Science,2015,96,66.6,39,40.6,57,59.4,18,18.8,na,na
84K6932016Physical Settings/Earth Science,84K693,Northside Charter High School,General Academic,High school,Physical Settings/Earth Science,2016,96,63.9,53,55.2,43,44.8,13,13.5,na,na
84K6932017Physical Settings/Earth Science,84K693,Northside Charter High School,General Academic,High school,Physical Settings/Earth Science,2017,91,52.4,71,78.0,20,22.0,1,1.1,na,na
84K6932015U.S. History and Government,84K693,Northside Charter High School,General Academic,High school,U.S. History and Government,2015,83,77.7,14,16.9,69,83.1,44,53.0,na,na
84K6932016U.S. History and Government,84K693,Northside Charter High School,General Academic,High school,U.S. History and Government,2016,85,75.6,14,16.5,71,83.5,37,43.5,na,na
84K6932017U.S. History and Government,84K693,Northside Charter High School,General Academic,High school,U.S. History and Government,2017,95,72.9,24,25.3,71,74.7,33,34.7,na,na
84K7022015Physical Settings/Earth Science,84K702,Community Partnership Charter School,General Academic,K-8,Physical Settings/Earth Science,2015,22,70.0,7,31.8,15,68.2,4,18.2,na,na
84K7022016Physical Settings/Earth Science,84K702,Community Partnership Charter School,General Academic,K-8,Physical Settings/Earth Science,2016,20,62.4,13,65.0,7,35.0,1,5.0,na,na
84K7022017Physical Settings/Earth Science,84K702,Community Partnership Charter School,General Academic,K-8,Physical Settings/Earth Science,2017,14,71.7,5,35.7,9,64.3,6,42.9,na,na
84K7042015Common Core Algebra,84K704,Explore Charter School,General Academic,K-8,Common Core Algebra,2015,5,s,s,s,s,s,s,s,na,na
84K7042016Common Core Algebra,84K704,Explore Charter School,General Academic,K-8,Common Core Algebra,2016,14,78.9,2,14.3,12,85.7,8,57.1,12,85.7
84K7042017Common Core Algebra,84K704,Explore Charter School,General Academic,K-8,Common Core Algebra,2017,15,68.7,6,40.0,9,60.0,3,20.0,7,46.7
84K7042015Common Core English,84K704,Explore Charter School,General Academic,K-8,Common Core English,2015,1,s,s,s,s,s,s,s,na,na
84K7042016Common Core English,84K704,Explore Charter School,General Academic,K-8,Common Core English,2016,2,s,s,s,s,s,s,s,na,na
84K7042017Common Core English,84K704,Explore Charter School,General Academic,K-8,Common Core English,2017,5,s,s,s,s,s,s,s,na,na
84K7042015Integrated Algebra,84K704,Explore Charter School,General Academic,K-8,Integrated Algebra,2015,10,81.8,0,0.0,10,100.0,6,60.0,6,60.0
84K7042017Living Environment,84K704,Explore Charter School,General Academic,K-8,Living Environment,2017,1,s,s,s,s,s,s,s,na,na
84K7072015Algebra2/Trigonometry,84K707,Brooklyn Prospect Charter School,General Academic,K-12 all grades,Algebra2/Trigonometry,2015,22,75.9,5,22.7,17,77.3,11,50.0,11,50.0
84K7072016Algebra2/Trigonometry,84K707,Brooklyn Prospect Charter School,General Academic,K-12 all grades,Algebra2/Trigonometry,2016,5,s,s,s,s,s,s,s,na,na
84K7072015Common Core Algebra,84K707,Brooklyn Prospect Charter School,General Academic,K-12 all grades,Common Core Algebra,2015,120,70.2,20,16.7,100,83.3,12,10.0,64,53.3
84K7072016Common Core Algebra,84K707,Brooklyn Prospect Charter School,General Academic,K-12 all grades,Common Core Algebra,2016,152,75.8,17,11.2,135,88.8,60,39.5,122,80.3
84K7072017Common Core Algebra,84K707,Brooklyn Prospect Charter School,General Academic,K-12 all grades,Common Core Algebra,2017,125,77.1,11,8.8,114,91.2,61,48.8,103,82.4
84K7072016Common Core Algebra2,84K707,Brooklyn Prospect Charter School,General Academic,K-12 all grades,Common Core Algebra2,2016,43,71.5,6,14.0,37,86.0,3,7.0,37,86.0
84K7072017Common Core Algebra2,84K707,Brooklyn Prospect Charter School,General Academic,K-12 all grades,Common Core Algebra2,2017,45,60.4,30,66.7,15,33.3,3,6.7,15,33.3
84K7072015Common Core English,84K707,Brooklyn Prospect Charter School,General Academic,K-12 all grades,Common Core English,2015,41,88.0,1,2.4,40,97.6,34,82.9,37,90.2
84K7072016Common Core English,84K707,Brooklyn Prospect Charter School,General Academic,K-12 all grades,Common Core English,2016,167,77.8,16,9.6,151,90.4,87,52.1,116,69.5
84K7072017Common Core English,84K707,Brooklyn Prospect Charter School,General Academic,K-12 all grades,Common Core English,2017,149,75.9,23,15.4,126,84.6,73,49.0,100,67.1
84K7072015Common Core Geometry,84K707,Brooklyn Prospect Charter School,General Academic,K-12 all grades,Common Core Geometry,2015,82,63.2,40,48.8,42,51.2,6,7.3,24,29.3
84K7072016Common Core Geometry,84K707,Brooklyn Prospect Charter School,General Academic,K-12 all grades,Common Core Geometry,2016,96,60.8,56,58.3,40,41.7,6,6.3,24,25.0
84K7072017Common Core Geometry,84K707,Brooklyn Prospect Charter School,General Academic,K-12 all grades,Common Core Geometry,2017,124,66.4,49,39.5,75,60.5,18,14.5,52,41.9
84K7072015English,84K707,Brooklyn Prospect Charter School,General Academic,K-12 all grades,English,2015,69,74.2,14,20.3,55,79.7,31,44.9,39,56.5
84K7072016English,84K707,Brooklyn Prospect Charter School,General Academic,K-12 all grades,English,2016,21,65.4,7,33.3,14,66.7,4,19.0,4,19.0
84K7072015Geometry,84K707,Brooklyn Prospect Charter School,General Academic,K-12 all grades,Geometry,2015,84,74.8,12,14.3,72,85.7,31,36.9,31,36.9
84K7072015Global History and Geography,84K707,Brooklyn Prospect Charter School,General Academic,K-12 all grades,Global History and Geography,2015,122,74.1,31,25.4,91,74.6,48,39.3,na,na
84K7072016Global History and Geography,84K707,Brooklyn Prospect Charter School,General Academic,K-12 all grades,Global History and Geography,2016,129,71.7,29,22.5,100,77.5,33,25.6,na,na
84K7072017Global History and Geography,84K707,Brooklyn Prospect Charter School,General Academic,K-12 all grades,Global History and Geography,2017,118,74.8,26,22.0,92,78.0,46,39.0,na,na
84K7072015Integrated Algebra,84K707,Brooklyn Prospect Charter School,General Academic,K-12 all grades,Integrated Algebra,2015,24,70.0,6,25.0,18,75.0,2,8.3,2,8.3
84K7072016Integrated Algebra,84K707,Brooklyn Prospect Charter School,General Academic,K-12 all grades,Integrated Algebra,2016,3,s,s,s,s,s,s,s,na,na
84K7072015Living Environment,84K707,Brooklyn Prospect Charter School,General Academic,K-12 all grades,Living Environment,2015,131,76.8,13,9.9,118,90.1,54,41.2,na,na
84K7072016Living Environment,84K707,Brooklyn Prospect Charter School,General Academic,K-12 all grades,Living Environment,2016,142,78.5,9,6.3,133,93.7,64,45.1,na,na
84K7072017Living Environment,84K707,Brooklyn Prospect Charter School,General Academic,K-12 all grades,Living Environment,2017,105,79.2,8,7.6,97,92.4,57,54.3,na,na
84K7072015Physical Settings/Chemistry,84K707,Brooklyn Prospect Charter School,General Academic,K-12 all grades,Physical Settings/Chemistry,2015,69,70.6,16,23.2,53,76.8,11,15.9,na,na
84K7072016Physical Settings/Chemistry,84K707,Brooklyn Prospect Charter School,General Academic,K-12 all grades,Physical Settings/Chemistry,2016,77,66.6,35,45.5,42,54.5,8,10.4,na,na
84K7072017Physical Settings/Chemistry,84K707,Brooklyn Prospect Charter School,General Academic,K-12 all grades,Physical Settings/Chemistry,2017,81,62.6,48,59.3,33,40.7,5,6.2,na,na
84K7072015Physical Settings/Earth Science,84K707,Brooklyn Prospect Charter School,General Academic,K-12 all grades,Physical Settings/Earth Science,2015,22,62.1,13,59.1,9,40.9,2,9.1,na,na
84K7072017Physical Settings/Earth Science,84K707,Brooklyn Prospect Charter School,General Academic,K-12 all grades,Physical Settings/Earth Science,2017,36,57.9,24,66.7,12,33.3,3,8.3,na,na
84K7072016Physical Settings/Physics,84K707,Brooklyn Prospect Charter School,General Academic,K-12 all grades,Physical Settings/Physics,2016,8,43.3,8,100.0,0,0.0,0,0.0,na,na
84K7072017Physical Settings/Physics,84K707,Brooklyn Prospect Charter School,General Academic,K-12 all grades,Physical Settings/Physics,2017,6,45.7,5,83.3,1,16.7,0,0.0,na,na
84K7072015U.S. History and Government,84K707,Brooklyn Prospect Charter School,General Academic,K-12 all grades,U.S. History and Government,2015,97,79.9,10,10.3,87,89.7,55,56.7,na,na
84K7072016U.S. History and Government,84K707,Brooklyn Prospect Charter School,General Academic,K-12 all grades,U.S. History and Government,2016,100,78.6,14,14.0,86,86.0,56,56.0,na,na
84K7072017U.S. History and Government,84K707,Brooklyn Prospect Charter School,General Academic,K-12 all grades,U.S. History and Government,2017,97,78.6,11,11.3,86,88.7,50,51.5,na,na
84K7102015Algebra2/Trigonometry,84K710,Brownsville Collegiate Charter School,General Academic,Junior High-Intermediate-Middle,Algebra2/Trigonometry,2015,10,56.3,7,70.0,3,30.0,1,10.0,1,10.0
